seconds,prediction
0,0.8
20,0.6
37,0.6
54,0.4
63,0.0
80,0.2
97,0.4
105,0.2
114,0.8
129,0.2
131,0.6
144,0.6
148,0.6
158,0.2
172,0.2
175,0.4
202,0.4
211,0.4
224,0.8
236,0.6
246,0.4
261,0.8
263,0.6
265,0.8
274,0.6
280,0.6
282,0.6
288,0.6
294,0.2
297,0.6
298,0.4
299,0.2
305,0.0
309,0.2
314,0.4
314,0.4
331,0.6
333,0.8
340,0.6
344,0.4
344,0.4
345,0.2
345,0.2
349,0.4
354,0.4
356,0.4
361,0.2
363,0.4
373,0.0
386,0.6
387,0.8
394,1.0
398,0.2
409,1.0
418,0.2
419,0.2
422,0.4
423,0.6
431,0.8
438,0.4
438,0.4
440,0.0
441,0.0
445,0.0
455,0.0
469,0.0
480,0.0
525,0.2
535,0.0
537,0.0
543,0.2
550,0.4
552,0.6
552,0.6
565,0.6
566,0.8
566,0.8
568,0.6
569,0.6
597,0.2
607,0.2
636,0.6
638,0.6
