,seconds,prediction
2,0,0.2
3,0,0.6
4,0,0.5
5,0,0.3
6,0,0.4
7,0,0.6
8,0,0.4
9,0,0.7
10,0,0.4
11,0,0.5
12,0,0.4
13,20,0.6
14,37,0.5
15,54,0.7
16,63,0.2
17,80,0.3
18,97,0.3
19,105,0.3
20,114,0.5
21,129,0.4
22,131,0.5
23,144,0.4
24,148,0.6
25,158,0.4
26,172,0.4
27,175,0.3
28,202,0.5
29,211,0.3
30,224,0.6
31,236,0.6
32,246,0.2
33,261,0.6
34,263,0.3
35,265,0.4
36,274,0.4
37,280,0.2
38,282,0.3
39,288,0.5
40,294,0.3
41,297,0.3
42,298,0.3
43,299,0.1
44,305,0.3
45,309,0.2
46,314,0.3
47,314,0.3
48,331,0.5
49,333,0.7
