seconds,minerals_current,vespene_current,minerals_collection_rate,vespene_collection_rate,workers_active_count,minerals_used_in_progress_army,minerals_used_in_progress_economy,minerals_used_in_progress_technology,vespene_used_in_progress_army,vespene_used_in_progress_economy,vespene_used_in_progress_technology,minerals_used_current_army,minerals_used_current_economy,minerals_used_current_technology,vespene_used_current_army,vespene_used_current_economy,vespene_used_current_technology,minerals_lost_army,minerals_lost_economy,minerals_lost_technology,vespene_lost_army,vespene_lost_economy,vespene_lost_technology,minerals_killed_army,minerals_killed_economy,minerals_killed_technology,vespene_killed_army,vespene_killed_economy,vespene_killed_technology,food_used,food_made,minerals_used_active_forces,vespene_used_active_forces,ff_minerals_lost_army,ff_minerals_lost_economy,ff_minerals_lost_technology,ff_vespene_lost_army,ff_vespene_lost_economy,ff_vespene_lost_technology
0,50,0,0,0,12,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,61440,0,0,0,0,0,0,0,0
10,30,0,251,0,12,0,50,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53248,61440,0,0,0,0,0,0,0,0
20,70,0,671,0,13,0,50,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57344,61440,0,0,0,0,0,0,0,0
30,40,0,699,0,13,0,150,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57344,61440,0,0,0,0,0,0,0,0
40,75,0,699,0,14,0,150,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61440,61440,0,0,0,0,0,0,0,0
50,125,0,755,0,14,0,150,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61440,61440,0,0,0,0,0,0,0,0
60,55,0,783,0,15,0,50,150,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,94208,0,0,0,0,0,0,0,0
70,80,0,839,0,15,0,125,150,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,94208,0,0,0,0,0,0,0,0
80,120,0,755,0,16,0,125,150,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69632,94208,0,0,0,0,0,0,0,0
90,220,0,839,0,17,0,75,150,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69632,94208,0,0,0,0,0,0,0,0
100,265,0,839,0,17,0,50,150,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,94208,0,0,0,0,0,0,0,0
110,370,8,839,44,17,0,50,150,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,94208,0,0,0,0,0,0,0,0
120,405,28,699,134,18,0,50,150,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77824,94208,0,0,0,0,0,0,0,0
130,505,48,783,179,18,0,50,0,0,0,0,0,1475,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77824,94208,0,0,0,0,0,0,0,0
140,395,18,783,179,19,50,150,0,50,0,0,0,1525,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
150,95,34,783,156,19,50,550,0,50,0,0,0,1525,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
160,205,54,839,156,19,50,550,0,50,0,0,0,1525,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
170,145,74,839,156,19,50,400,150,50,0,0,0,1675,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
180,140,94,811,156,19,0,400,150,0,0,0,50,1675,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,50,50,0,0,0,0,0,0
190,130,64,783,179,19,0,550,200,0,0,50,50,1675,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86016,94208,50,50,0,0,0,0,0,0
200,195,84,895,179,19,0,550,200,0,0,50,50,1675,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86016,94208,50,50,0,0,0,0,0,0
