seconds,minerals_current,vespene_current,minerals_collection_rate,vespene_collection_rate,workers_active_count,minerals_used_in_progress_army,minerals_used_in_progress_economy,minerals_used_in_progress_technology,vespene_used_in_progress_army,vespene_used_in_progress_economy,vespene_used_in_progress_technology,minerals_used_current_army,minerals_used_current_economy,minerals_used_current_technology,vespene_used_current_army,vespene_used_current_economy,vespene_used_current_technology,minerals_lost_army,minerals_lost_economy,minerals_lost_technology,vespene_lost_army,vespene_lost_economy,vespene_lost_technology,minerals_killed_army,minerals_killed_economy,minerals_killed_technology,vespene_killed_army,vespene_killed_economy,vespene_killed_technology,food_used,food_made,minerals_used_active_forces,vespene_used_active_forces,ff_minerals_lost_army,ff_minerals_lost_economy,ff_minerals_lost_technology,ff_vespene_lost_army,ff_vespene_lost_economy,ff_vespene_lost_technology
0,50,0,0,0,12,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,61440,0,0,0,0,0,0,0,0
10,30,0,251,0,12,0,50,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53248,61440,0,0,0,0,0,0,0,0
20,65,0,643,0,13,0,50,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57344,61440,0,0,0,0,0,0,0,0
30,40,0,671,0,13,0,150,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57344,61440,0,0,0,0,0,0,0,0
40,75,0,643,0,14,0,150,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61440,61440,0,0,0,0,0,0,0,0
50,160,0,671,0,14,0,150,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61440,61440,0,0,0,0,0,0,0,0
60,40,0,671,0,15,0,50,150,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,94208,0,0,0,0,0,0,0,0
70,65,0,783,0,15,0,125,150,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,94208,0,0,0,0,0,0,0,0
80,105,0,727,0,16,0,125,150,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69632,94208,0,0,0,0,0,0,0,0
90,95,0,783,0,16,0,125,150,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69632,94208,0,0,0,0,0,0,0,0
100,135,4,783,22,17,0,50,150,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,94208,0,0,0,0,0,0,0,0
110,70,20,755,111,18,0,0,150,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,94208,0,0,0,0,0,0,0,0
120,35,40,727,156,18,0,50,300,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77824,94208,0,0,0,0,0,0,0,0
130,70,10,727,156,18,50,225,150,50,0,0,0,1475,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
140,100,30,699,156,19,50,225,150,50,0,0,0,1525,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86016,94208,0,0,0,0,0,0,0,0
150,30,50,699,156,20,50,325,150,50,0,0,0,1575,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90112,94208,0,0,0,0,0,0,0,0
160,125,74,727,201,20,50,150,150,50,0,0,0,1750,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90112,126976,0,0,0,0,0,0,0,0
170,50,60,671,291,21,50,100,150,50,0,0,50,1800,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94208,126976,50,50,0,0,0,0,0,0
180,30,50,671,335,21,100,150,0,100,0,0,50,1900,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,159744,50,50,0,0,0,0,0,0
190,60,90,671,335,22,100,150,0,100,0,0,50,1950,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106496,159744,50,50,0,0,0,0,0,0
200,65,26,811,313,22,100,150,0,100,0,0,50,1950,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106496,159744,50,50,0,0,0,0,0,0
